household_id,month,monthly_kwh,prev1,prev2,prev3,target,peak_ratio,family_size,has_refrigerator,has_ac,has_geyser,has_electric_cooking,has_washing_machine,has_water_pump,work_from_home,no_members_wfh,avg_hours_wfh,temp,humidity,rain,inverter_ac,non_inverter_ac,has_solar,water_heater_solar,led_ratio,ac_hours_per_day
ID0013,3,294.1390000000001,158.6889,140.96110000000004,148.80600000000004,175.64599999999996,0.0763447091181099,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,27.3356525,79.767775,133.75,0,0,0,0,1.0,0.0
ID0013,4,175.64599999999996,294.1390000000001,158.6889,140.96110000000004,149.36099999999988,0.1627186933109934,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,27.49309,83.77315,220.45,0,0,0,0,1.0,0.0
ID0013,5,168.0250000000001,149.36099999999988,175.64599999999996,294.1390000000001,149.9780000000001,0.2440448116944269,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,27.168582,87.33985200000001,438.6,0,0,0,0,1.0,0.0
ID0013,6,168.84199999999987,149.9780000000001,168.0250000000001,149.36099999999988,164.52800000000025,0.2263886005212078,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,26.698818000000003,86.987728,332.2,0,0,0,0,1.0,0.0
ID0013,7,156.28700000000003,164.52800000000025,168.84199999999987,149.9780000000001,159.22199999999975,0.1667531969453574,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,26.714113,86.184353,274.35,0,0,0,0,1.0,0.0
ID0013,8,136.577,159.22199999999975,156.28700000000003,164.52800000000025,150.02800000000025,0.1046835528469716,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,26.5076955,85.7548,215.15,0,0,0,0,1.0,0.0
ID0013,9,166.9751000000001,150.02800000000025,136.577,159.22199999999975,164.3739999999998,0.2387740884075275,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,26.1450005,87.16941,424.10002,0,0,0,0,1.0,0.0
ID0013,10,150.98289999999997,164.3739999999998,166.9751000000001,150.02800000000025,165.66010000000006,0.2480949176672687,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,25.672043,89.069705,503.15,0,0,0,0,1.0,0.0
ID0013,11,160.22900000000004,165.66010000000006,150.98289999999997,164.3739999999998,157.3418999999999,0.2575108346961702,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,25.415867,90.275825,472.25,0,0,0,0,1.0,0.0
ID0013,12,152.23299999999972,157.3418999999999,160.22900000000004,165.66010000000006,182.884,0.2658700579642081,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,25.559620666666664,81.78415666666668,175.19999666666666,0,0,0,0,1.0,0.0
ID0018,3,1056.8240000000003,408.875,313.89200000000005,434.165,414.241,0.1008697295255175,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,6.857142857142857,27.3356525,79.767775,133.75,1,0,1,0,0.4680851063829787,10.0
ID0018,4,414.241,1056.8240000000003,408.875,313.89200000000005,472.3159999999998,0.1616953410586018,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,6.857142857142857,27.49309,83.77315,220.45,1,0,1,0,0.4680851063829787,10.0
ID0018,5,442.34000000000015,472.3159999999998,414.241,1056.8240000000003,396.2870999999996,0.1864291375937709,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,6.857142857142857,27.168582,87.33985200000001,438.6,1,0,1,0,0.4680851063829787,10.0
ID0018,6,449.19000000000005,396.2870999999996,442.34000000000015,472.3159999999998,339.4259000000002,0.2251989894997105,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,6.857142857142857,26.698818000000003,86.987728,332.2,1,0,1,0,0.4680851063829787,10.0
ID0018,7,433.1109999999999,339.4259000000002,449.19000000000005,396.2870999999996,337.4071000000004,0.2078230107663277,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,6.857142857142857,26.714113,86.184353,274.35,1,0,1,0,0.4680851063829787,10.0
ID0018,8,495.3489999999997,337.4071000000004,433.1109999999999,339.4259000000002,322.09189999999944,0.1807441537920597,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,6.857142857142857,26.5076955,85.7548,215.15,1,0,1,0,0.4680851063829787,10.0
ID0018,9,300.482,322.09189999999944,495.3489999999997,337.4071000000004,314.53800000000047,0.2092485333156871,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,6.857142857142857,26.1450005,87.16941,424.10002,1,0,1,0,0.4680851063829787,10.0
ID0018,10,326.6190000000006,314.53800000000047,300.482,322.09189999999944,307.9210000000003,0.2639835921437792,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,6.857142857142857,25.672043,89.069705,503.15,1,0,1,0,0.4680851063829787,10.0
ID0018,11,380.4309999999996,307.9210000000003,326.6190000000006,314.53800000000047,287.53299999999945,0.2391828582491617,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,6.857142857142857,25.415867,90.275825,472.25,1,0,1,0,0.4680851063829787,10.0
ID0018,12,318.04,287.53299999999945,380.4309999999996,307.9210000000003,237.42699999999968,0.240562187191744,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,6.857142857142857,25.559620666666664,81.78415666666668,175.19999666666666,1,0,1,0,0.4680851063829787,10.0
ID0041,3,66.47399999999999,92.87000000000012,65.327,78.01499999999987,111.548,0.0813137211279653,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,7.142857142857143,27.225377,80.92645,109.3,1,0,1,0,1.0,0.4285714285714285
ID0041,4,100.62900000000002,111.548,66.47399999999999,92.87000000000012,81.23810000000003,0.1678441679293207,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,7.142857142857143,27.7082005,82.4841975,171.75,1,0,1,0,1.0,0.4285714285714285
ID0041,5,87.67499999999995,81.23810000000003,100.62900000000002,111.548,118.15289999999982,0.1827192068737225,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,7.142857142857143,27.484887,86.18369000000001,458.2,1,0,1,0,1.0,0.4285714285714285
ID0041,6,87.65899999999999,118.15289999999982,87.67499999999995,81.23810000000003,101.10609999999996,0.2508618225833634,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,7.142857142857143,27.015424,85.81604250000001,350.70001,1,0,1,0,1.0,0.4285714285714285
ID0041,7,86.34100000000001,101.10609999999996,87.65899999999999,118.15289999999982,103.79190000000015,0.2278119269655803,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,7.142857142857143,27.027931,85.41969,277.95,1,0,1,0,1.0,0.4285714285714285
ID0041,8,100.21900000000004,103.79190000000015,86.34100000000001,101.10609999999996,93.33199999999988,0.2204903791876734,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,7.142857142857143,26.8202695,84.74177,262.90001,1,0,1,0,1.0,0.4285714285714285
ID0041,9,71.34899999999993,93.33199999999988,100.21900000000004,103.79190000000015,79.10210000000006,0.2194296327784856,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,7.142857142857143,26.513583,85.925655,424.05,1,0,1,0,1.0,0.4285714285714285
ID0041,10,66.79000000000008,79.10210000000006,71.34899999999993,93.33199999999988,88.57589999999982,0.2143168214801744,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,7.142857142857143,25.896379,88.46545499999999,481.6,1,0,1,0,1.0,0.4285714285714285
ID0041,11,72.29600000000005,88.57589999999982,66.79000000000008,79.10210000000006,112.54010000000017,0.2355994954536842,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,7.142857142857143,25.6712915,88.81366,420.29999,1,0,1,0,1.0,0.4285714285714285
ID0041,12,76.58699999999999,112.54010000000017,72.29600000000005,88.57589999999982,77.28690000000006,0.2189556804265122,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,7.142857142857143,25.723137333333337,80.67388,176.79999999999998,1,0,1,0,1.0,0.4285714285714285
ID0043,3,807.5259999999998,489.275,206.686,388.8330000000005,572.044,0.0930055252191426,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1,2,15.76190476190476,27.3356525,79.767775,133.75,0,4,1,0,0.981132075471698,0.0
ID0043,4,572.044,807.5259999999998,489.275,206.686,425.59000000000015,0.1739890431621017,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1,2,15.76190476190476,27.49309,83.77315,220.45,0,4,1,0,0.981132075471698,0.0
ID0043,5,552.9680000000001,425.59000000000015,572.044,807.5259999999998,381.8909999999996,0.2361510675687921,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1,2,15.76190476190476,27.168582,87.33985200000001,438.6,0,4,1,0,0.981132075471698,0.0
ID0043,6,519.733,381.8909999999996,552.9680000000001,425.59000000000015,358.1680000000006,0.2461599729335421,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1,2,15.76190476190476,26.698818000000003,86.987728,332.2,0,4,1,0,0.981132075471698,0.0
ID0043,7,418.5790000000002,358.1680000000006,519.733,381.8909999999996,350.8769999999995,0.2155972427918003,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1,2,15.76190476190476,26.714113,86.184353,274.35,0,4,1,0,0.981132075471698,0.0
ID0043,8,325.55899999999974,350.8769999999995,418.5790000000002,358.1680000000006,228.5550000000003,0.2227174897132058,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1,2,15.76190476190476,26.5076955,85.7548,215.15,0,4,1,0,0.981132075471698,0.0
ID0043,9,221.721,228.5550000000003,325.55899999999974,350.8769999999995,207.48700000000008,0.2558466855512335,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1,2,15.76190476190476,26.1450005,87.16941,424.10002,0,4,1,0,0.981132075471698,0.0
